character,defination
䰟,<big><font color='#f00'>hún</font></big><font face='AR UDJingxihei'><br>• old variant of 魂[hún]<br></font>
䰾,<big><font color='#f00'>bā</font></big><font face='AR UDJingxihei'><br>• see 䰾魚|鲃鱼[bā yú]<br></font>
䲔,<big><font color='#f00'>jīng</font></big><font face='AR UDJingxihei'><br>• old variant of 鯨|鲸[jīng]<br></font>
䳗,<big><font color='#f00'>é</font></big><font face='AR UDJingxihei'><br>• variant of 鵝|鹅[é]<br></font>
䳘,<big><font color='#f00'>é</font></big><font face='AR UDJingxihei'><br>• variant of 鵝|鹅[é]<br></font>
䴉,<big><font color='#f00'>huán</font></big><font face='AR UDJingxihei'><br>• spoonbill<br>• ibis<br>• family Threskiornithidae<br></font>
䴸,<big><font color='#f00'>fū</font></big><font face='AR UDJingxihei'><br>• variant of 麩|麸[fū]<br></font>
䵹,<big><font color='#f00'>zhī</font></big><font face='AR UDJingxihei'><br>• old variant of 蜘[zhī]<br></font>
䶊,<big><font color='#f00'>nu:4</font></big><font face='AR UDJingxihei'><br>• old variant of 衄[nu:4]<br></font>
䶑,<big><font color='#f00'>tì</font></big><font face='AR UDJingxihei'><br>• variant of 嚏[tì]<br></font>
一,<big><font color='#f00'>yī</font></big><font face='AR UDJingxihei'><br>• one<br>• 1<br>• single<br>• a (article)<br>• as soon as<br>• entire<br>• whole<br>• all<br>• throughout<br>• 'one' radical in Chinese characters (Kangxi radical 1)<br>• also pr. [yāo] for greater clarity when spelling out numbers digit by digit<br></font>
丁,<big><font color='#f00'>Dīng</font></big><font face='AR UDJingxihei'><br>• surname Ding<br></font>
丁,<big><font color='#f00'>dīng</font></big><font face='AR UDJingxihei'><br>• fourth of the ten Heavenly Stems 十天干[shí tiān gān]<br>• fourth in order<br>• letter 'D' or roman 'IV' in list 'A, B, C', or 'I, II, III' etc<br>• ancient Chinese compass point: 195°<br>• butyl<br>• cubes (of food)<br></font>
丂,<big><font color='#f00'>kǎo</font></big><font face='AR UDJingxihei'><br>• 'breath' or 'sigh' component in Chinese characters<br></font>
七,<big><font color='#f00'>qī</font></big><font face='AR UDJingxihei'><br>• seven<br>• 7<br></font>
丄,<big><font color='#f00'>shàng</font></big><font face='AR UDJingxihei'><br>• old variant of 上[shàng]<br></font>
丅,<big><font color='#f00'>xià</font></big><font face='AR UDJingxihei'><br>• old variant of 下[xià]<br></font>
丆,<big><font color='#f00'>xx</font></big><font face='AR UDJingxihei'><br>• one of the characters used in kwukyel (phonetic 'myeon'), an ancient Korean writing system<br></font>
万,<big><font color='#f00'>Mò</font></big><font face='AR UDJingxihei'><br>• see 万俟[Mò qí]<br></font>
丈,<big><font color='#f00'>zhàng</font></big><font face='AR UDJingxihei'><br>• measure of length, ten Chinese feet (3.3 m)<br>• to measure<br>• husband<br>• polite appellation for an older male<br></font>
三,<big><font color='#f00'>Sān</font></big><font face='AR UDJingxihei'><br>• surname San<br></font>
三,<big><font color='#f00'>sān</font></big><font face='AR UDJingxihei'><br>• three<br>• 3<br></font>
上,<big><font color='#f00'>shǎng</font></big><font face='AR UDJingxihei'><br>• see 上聲|上声[shǎng shēng]<br></font>
上,<big><font color='#f00'>shàng</font></big><font face='AR UDJingxihei'><br>• on top<br>• upon<br>• above<br>• upper<br>• previous<br>• first (of multiple parts)<br>• to climb<br>• to get onto<br>• to go up<br>• to attend (class or university)<br></font>
下,<big><font color='#f00'>xià</font></big><font face='AR UDJingxihei'><br>• down<br>• downwards<br>• below<br>• lower<br>• later<br>• next (week etc)<br>• second (of two parts)<br>• to decline<br>• to go down<br>• to arrive at (a decision, conclusion etc)<br>• measure word to show the frequency of an action<br></font>
丌,<big><font color='#f00'>Jī</font></big><font face='AR UDJingxihei'><br>• surname Ji<br></font>
丌,<big><font color='#f00'>jī</font></big><font face='AR UDJingxihei'><br>• 'pedestal' component in Chinese characters<br></font>
丌,<big><font color='#f00'>qí</font></big><font face='AR UDJingxihei'><br>• archaic variant of 其[qí]<br></font>
不,<big><font color='#f00'>bù</font></big><font face='AR UDJingxihei'><br>• (negative prefix)<br>• not<br>• no<br></font>
丏,<big><font color='#f00'>miǎn</font></big><font face='AR UDJingxihei'><br>• hidden from view<br>• barrier to ward off arrows<br></font>
丐,<big><font color='#f00'>gài</font></big><font face='AR UDJingxihei'><br>• to beg for alms<br>• beggar<br></font>
丑,<big><font color='#f00'>Chǒu</font></big><font face='AR UDJingxihei'><br>• surname Chou<br></font>
丑,<big><font color='#f00'>chǒu</font></big><font face='AR UDJingxihei'><br>• clown<br>• 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox<br>• ancient Chinese compass point: 30°<br></font>
